symbol,shortName,longName,exchange,market,quoteType
RELIANCE.NS,RELIANCE INDS,Reliance Industries Limited,NSI,in_market,EQUITY
RELIANCE.BO,RELIANCE INDUSTRIES LTD.,Reliance Industries Limited,BSE,in_market,EQUITY
TCS.NS,TATA CONSULTANCY S,Tata Consultancy Services Limited,NSI,in_market,EQUITY
TCS.BO,TATA CONSULTANCY SERVICES LTD.,Tata Consultancy Services Limited,BSE,in_market,EQUITY
HDFCBANK.NS,HDFC BANK,HDFC Bank Limited,NSI,in_market,EQUITY
INFY.NS,INFOSYS LTD,Infosys Limited,NSI,in_market,EQUITY
HDFCBANK.BO,HDFC BANK LTD.,HDFC Bank Limited,BSE,in_market,EQUITY
HINDUNILVR.NS,HINDUSTAN UNILEVER,Hindustan Unilever Limited,NSI,in_market,EQUITY
ICICIBANK.NS,ICICI BANK,ICICI Bank Limited,NSI,in_market,EQUITY
HINDUNILVR.BO,HINDUSTAN UNILEVER LTD.,Hindustan Unilever Limited,BSE,in_market,EQUITY
INFY.BO,INFOSYS LTD.,Infosys Limited,BSE,in_market,EQUITY
HDFC.NS,HOUSING DEVEL FIN,Housing Development Finance Corporation Limited,NSI,in_market,EQUITY
BAJFINANCE.NS,BAJAJ FINANCE LTD,Bajaj Finance Limited,NSI,in_market,EQUITY
SBIN.NS,STATE BK OF INDIA,State Bank of India,NSI,in_market,EQUITY
BHARTIARTL.NS,BHARTI AIRTEL LTD,Bharti Airtel Limited,NSI,in_market,EQUITY
WIPRO.NS,WIPRO LTD,Wipro Limited,NSI,in_market,EQUITY
KOTAKBANK.NS,KOTAK MAHINDRA BAN,Kotak Mahindra Bank Limited,NSI,in_market,EQUITY
HDFC.BO,HOUSING DEVELOPMENT FINANCE CO,Housing Development Finance Corporation Limited,BSE,in_market,EQUITY
HCLTECH.NS,HCL TECHNOLOGIES,HCL Technologies Limited,NSI,in_market,EQUITY
ASIANPAINT.NS,ASIAN PAINTS LTD,Asian Paints Limited,NSI,in_market,EQUITY
DMART.NS,AVENUE SUPERMARTS,Avenue Supermarts Limited,NSI,in_market,EQUITY
ICICIBANK.BO,ICICI BANK LTD.,ICICI Bank Limited,BSE,in_market,EQUITY
BAJAJFINSV.NS,BAJAJ FINSERV LTD,Bajaj Finserv Ltd.,NSI,in_market,EQUITY
KOTAKBANK.BO,KOTAK MAHINDRA BANK LTD.,Kotak Mahindra Bank Limited,BSE,in_market,EQUITY
ITC.NS,ITC LTD,ITC Limited,NSI,in_market,EQUITY
LT.NS,LARSEN & TOUBRO,Larsen & Toubro Limited,NSI,in_market,EQUITY
MARUTI.NS,MARUTI SUZUKI IND,Maruti Suzuki India Limited,NSI,in_market,EQUITY
BHARTIARTL.BO,BHARTI AIRTEL LTD.,Bharti Airtel Limited,BSE,in_market,EQUITY
HCLTECH.BO,HCL TECHNOLOGIES LTD.,HCL Technologies Limited,BSE,in_market,EQUITY
TITAN.NS,TITAN COMPANY LTD,Titan Company Limited,NSI,in_market,EQUITY
AXISBANK.NS,AXIS BANK,Axis Bank Limited,NSI,in_market,EQUITY
ADANIGREEN.NS,ADANI GREEN ENERGY,Adani Green Energy Limited,NSI,in_market,EQUITY
ULTRACEMCO.NS,ULTRATECH CEMENT,UltraTech Cement Limited,NSI,in_market,EQUITY
MARUTI.BO,MARUTI SUZUKI INDIA LTD.,Maruti Suzuki India Limited,BSE,in_market,EQUITY
ITC.BO,ITC LTD.,ITC Limited,BSE,in_market,EQUITY
ASIANPAINT.BO,ASIAN PAINTS LTD.,Asian Paints Limited,BSE,in_market,EQUITY
SUNPHARMA.NS,SUN PHARMACEUTICAL,Sun Pharmaceutical Industries Limited,NSI,in_market,EQUITY
ONGC.NS,OIL & NATURAL GAS,Oil and Natural Gas Corporation Limited,NSI,in_market,EQUITY
ATGL.NS,ADANI TOTAL GAS LIMITED,Adani Total Gas Limited,NSI,in_market,EQUITY
ADANITRANS.NS,ADANI TRANSMISS.IN,Adani Transmission Limited,NSI,in_market,EQUITY
BAJFINANCE.BO,BAJAJ FINANCE LIMITED,Bajaj Finance Limited,BSE,in_market,EQUITY
WIPRO.BO,WIPRO LTD.,Wipro Limited,BSE,in_market,EQUITY
NESTLEIND.NS,NESTLE INDIA,Nestlé India Limited,NSI,in_market,EQUITY
ADANIENT.NS,ADANI ENTERPRISES,Adani Enterprises Limited,NSI,in_market,EQUITY
SBIN.BO,STATE BANK OF INDIA,State Bank of India,BSE,in_market,EQUITY
TATAMOTORS.NS,TATA MOTORS LTD.,Tata Motors Limited,NSI,in_market,EQUITY
TATAMTRDVR.NS,TATA MOTORS LTD.,Tata Motors Limited,NSI,in_market,EQUITY
TECHM.NS,TECH MAHINDRA,Tech Mahindra Limited,NSI,in_market,EQUITY
JSWSTEEL.NS,JSW STEEL LTD,JSW Steel Limited,NSI,in_market,EQUITY
AXISBANK.BO,AXIS BANK LTD.,Axis Bank Limited,BSE,in_market,EQUITY
NESTLEIND.BO,NESTLE INDIA LTD.,Nestlé India Limited,BSE,in_market,EQUITY
ADANIPORTS.NS,ADANI PORT SPECIAL,Adani Ports and Special Economic Zone Limited,NSI,in_market,EQUITY
TATASTEEL.NS,TATA STEEL LTD,Tata Steel Limited,NSI,in_market,EQUITY
POWERGRID.NS,POWER GRID CORP,Power Grid Corporation of India Limited,NSI,in_market,EQUITY
HINDZINC.NS,HINDUSTAN ZINC,Hindustan Zinc Limited,NSI,in_market,EQUITY
HDFCLIFE.NS,HDFC LIFE INSURANC,HDFC Life Insurance Company Limited,NSI,in_market,EQUITY
PIDILITIND.NS,PIDILITE INDUSTRIE,Pidilite Industries Limited,NSI,in_market,EQUITY
DMART.BO,Avenue Supermarts Limited,Avenue Supermarts Limited,BSE,in_market,EQUITY
LT.BO,LARSEN & TOUBRO LTD.,Larsen & Toubro Limited,BSE,in_market,EQUITY
ULTRACEMCO.BO,ULTRATECH CEMENT LTD.,UltraTech Cement Limited,BSE,in_market,EQUITY
NTPC.NS,NTPC LTD,NTPC Limited,NSI,in_market,EQUITY
LTI.NS,LARSEN AND TOUBRO,Larsen & Toubro Infotech Limited,NSI,in_market,EQUITY
VEDL.NS,VEDANTA LIMITED,Vedanta Limited,NSI,in_market,EQUITY
SBILIFE.NS,SBI LIFE INSURANCE,SBI Life Insurance Company Limited,NSI,in_market,EQUITY
DIVISLAB.NS,DIVI'S LABORATORIE,Divi's Laboratories Limited,NSI,in_market,EQUITY
GRASIM.NS,GRASIM INDUSTRIES,Grasim Industries Limited,NSI,in_market,EQUITY
SUNPHARMA.BO,SUN PHARMACEUTICAL INDUSTRIES,Sun Pharmaceutical Industries Limited,BSE,in_market,EQUITY
HDFCLIFE.BO,HDFC LIFE INSURANCE COMPANY LI,HDFC Life Insurance Company Limited,BSE,in_market,EQUITY
IOC.NS,INDIAN OIL CORP,Indian Oil Corporation Limited,NSI,in_market,EQUITY
TITAN.BO,TITAN COMPANY LIMITED,Titan Company Limited,BSE,in_market,EQUITY
HINDALCO.NS,HINDALCO INDS,Hindalco Industries Limited,NSI,in_market,EQUITY
